Name,Age,City,Salary,Score
FCZLH,24,Pune,95475,2.73
BVMRA,33,Mumbai,109185,6.23
MPDOG,49,Hyderabad,28800,9.26
AWHOW,19,Bangalore,25929,7.9
DTDDX,50,Pune,51410,2.67
VSNDE,32,Hyderabad,115799,3.02
SQVJI,59,Delhi,99076,2.23
YJPGQ,55,Hyderabad,39463,2.26
YSANA,55,Hyderabad,41356,6.6
WLISK,24,Hyderabad,86650,6.66
GUVZP,51,Pune,30687,5.02
FQSJX,47,Pune,64903,3.76
COHDP,39,Mumbai,119859,6.48
YDHXB,44,Pune,86971,9.92
KWFHK,29,Mumbai,51823,5.21
PEXGF,59,Hyderabad,85360,1.56
RVPBY,31,Pune,108349,9.78
UZXCJ,59,Delhi,79389,2.27
NDKOB,24,Mumbai,56957,5.33
NOTLJ,26,Delhi,31239,2.58
JNKSG,21,Pune,61849,6.55
XZLCL,35,Bangalore,116598,2.97
SYAOY,44,Delhi,89012,8.63
MAIPM,29,Pune,88618,4.37
SQKHZ,56,Bangalore,77379,5.87
TYNME,54,Mumbai,45686,8.46
BPXQG,22,Delhi,26341,8.9
UPKQG,51,Hyderabad,88657,8.42
YGNGC,21,Bangalore,60722,4.48
QCLQC,30,Hyderabad,79001,5.56
WMUCU,22,Bangalore,86472,9.68
XUPSN,59,Bangalore,87395,1.74
QOJVE,20,Pune,79683,6.5
DQWVN,50,Pune,101863,6.07
WVGRO,21,Mumbai,62665,3.76
RPBEZ,22,Bangalore,59694,1.85
NBVZU,54,Pune,20341,6.1
HNFWB,28,Pune,70835,4.2
HWCHW,33,Delhi,66049,6.16
HZEFB,37,Hyderabad,111413,4.43
QBXDW,36,Mumbai,80919,1.67
BUGRG,32,Hyderabad,99123,7.32
NGGYQ,28,Pune,62581,6.73
SGCOJ,35,Bangalore,106584,4.3
TOLZL,50,Mumbai,89952,4.64
HZXLQ,32,Mumbai,113844,9.9
ALOSN,36,Delhi,94981,9.76
ZCSTY,58,Bangalore,20187,5.57
LJFLO,40,Hyderabad,75857,6.05
PICWO,46,Hyderabad,22052,7.33
RESUV,40,Bangalore,56710,5.96
KGJQP,42,Mumbai,50757,2.2
IPTPM,45,Hyderabad,91780,7.39
QWWEJ,27,Mumbai,117135,7.27
GOXWB,45,Delhi,105897,5.85
VFDXT,37,Hyderabad,27495,5.12
UVVZF,30,Pune,89762,1.88
EYPDW,45,Pune,51905,1.02
CVLVT,46,Hyderabad,52587,2.81
QWGRG,30,Hyderabad,37238,1.31
GKTTV,41,Hyderabad,42463,3.39
VPIJV,20,Bangalore,92347,6.14
AACNV,18,Delhi,103317,5.03
LQSVX,42,Delhi,86380,8.68
IHHCI,40,Pune,117719,3.91
UZHCB,22,Bangalore,53905,7.02
QOSKS,45,Pune,105296,8.7
UFPLL,26,Delhi,69235,9.51
NAUPE,29,Bangalore,80977,7.41
TXNMO,42,Bangalore,35506,9.18
ZVSBY,53,Pune,81362,8.97
GSGLB,32,Pune,78599,2.62
RNETR,27,Pune,38671,7.51
AGFUU,20,Bangalore,94593,8.46
GSUNR,26,Mumbai,103318,8.09
GZTBD,44,Delhi,106006,9.32
KPBLH,28,Pune,24935,9.87
KVHPG,44,Hyderabad,80653,8.34
UNUCE,44,Mumbai,64436,4.14
TBSBO,21,Bangalore,35106,9.34
DJPLV,30,Pune,27281,7.22
VTIYE,30,Delhi,70324,9.03
YCBGW,35,Bangalore,31621,6.67
CRLMA,43,Bangalore,67552,9.53
IEASY,21,Hyderabad,86365,7.68
OQFMY,42,Delhi,57274,9.25
QQBFD,44,Mumbai,62532,9.63
YYTAO,38,Pune,44698,5.9
PDDAL,26,Bangalore,64167,4.01
ODCGQ,40,Pune,118092,1.07
YZDHT,57,Delhi,67954,8.86
KQDIU,59,Delhi,31244,3.74
UZXWP,38,Mumbai,112108,3.21
HZGCS,31,Hyderabad,89132,7.09
IWHSZ,32,Hyderabad,92335,6.05
VTNPO,27,Mumbai,90387,6.37
UQTIQ,37,Mumbai,104302,3.91
NAJSY,42,Delhi,89425,6.47
NHFAZ,34,Bangalore,37708,7.18
FRNGJ,56,Bangalore,52560,1.21
RZTSX,57,Pune,56430,7.37
YADHO,31,Mumbai,34027,6.49
CNGMO,41,Mumbai,27976,4.27
HNAQP,28,Hyderabad,62096,7.75
TBTCJ,27,Bangalore,45932,8.8
YNVLI,52,Bangalore,67377,3.05
IATSE,49,Delhi,70782,7.82
EMDHE,38,Delhi,115521,1.84
JONLR,55,Pune,92178,1.56
SGYXI,43,Delhi,24325,8.38
GRJYY,30,Hyderabad,90014,6.24
YETOR,45,Pune,81998,8.13
KODVJ,35,Bangalore,44154,6.71
QHCED,24,Delhi,79464,6.78
UPUBA,48,Pune,69374,7.82
PUAPM,52,Bangalore,62007,2.86
EMSVI,40,Pune,20351,2.2
TXEEW,56,Pune,59505,3.3
